error_code,error_summary,error_description
Improper Python usage,,
E0601,Used before assignment,
E0602,Undefined variable,
W0631,Undefined loop variable,
E0103,Not in loop,
E0104,Return outside function,
W0101,Unreachable,
W0109,Duplicate key,
Type errors,,
E1101,No member,
E1102,Not callable,
E1111,Assignment from no return,
E1120,No value for parameter,
E1121,Too many function args,
E1126,Invalid sequence index,
E1127,Invalid slice index,
E1128,Assignment from None,
E1130,Invalid unary operand type,
E1131,Unsupported binary operation,
E1135,Unsupported membership test,
E1136,Unsubscriptable object,
E0632,Unbalanced tuple unpacking,
E0633,Unpacking non-sequence,
Code complexity,,
R0102,Simplifiable if statement,
C0113,Unneeded not,
C0121,Singleton comparison,
W0125,Using constant test,
R0912,Too many branches,
R0101,Too many nested blocks,
R0913,Too many arguments,
R0914,Too many locals,
R0915,Too many statements,
W0612,Unused variable,
W0613,Unused argument,
W0104,Pointless statement,
W0107,Unnecessary pass,
Documentation and naming,,
C0111,Missing Docstring,
C0112,Empty Docstring,
C0102,Blacklisted name,
C0103,Invalid Name,
E0102,Function redefined,
E0108,Duplicate argument name,
W0621,Redefined outer name,
W0622,Redefined builtin,
Imports,,
E9999,Forbidden imports,
E0401,Import error,
E0611,No name in module,
W0406,Import self,
W0404,Reimported,
W0401,Wildcard import,
C0411,Wrong import order,
C0413,Wrong import position,
C0412,Ungrouped imports,
C0410,Multiple imports,
W0611,Unused import,
Classes and objects,,
R0902,Too many instance attributes,
W0222,Different method signature,
E0101,Return in `__init__`,
W0212,Protected member access,
W0233,Bad parent init,
W0201,Attribute defined outside init,
E0203,Access to member before definition,
E0202,Method hidden,
E0302,Unexpected special method signature,
E0239,Inheriting from a non-class,
E0241,Duplicate bases,
E0211,No method argument,
E0213,`self` as the first argument,
R0201,No self use,
W0211,Bad static member,
Exceptions,,
W0702,Bare exception,
W0703,Exception is too generic,
W0705,Duplicate except blocks,
E0701,Bad exception order,
W0711,Binary op exception,
E0704,Misplaced bare raise,
E0702,Raising bad type,
E0710,Raising non-exception,
E0711,NotImplemented raised,
E0712,Catching non-exception,
Custom errors {#custom},,
E9998,Forbidden IO function,
E9996,Always returning in a loop,
E9991,Dynamic Execution,
Miscellaneous,,
E1305,Too many format args,
E1306,Too few format args,
E1310,Bad str strip call,
W1303,Missing format argument key,
W1305,Format combined specification,
W1401,Anomalous backslash in string,
W1503,Redundant unittest assert,
C0123,Unidiomatic type check,
W0102,Dangerous default value,
W0199,Assert on tuple,
Syntax errors {#custom},,
E0001,Syntax Error,
Missing,,
C0305,:trailing-newlines (C0305): *Trailing newlines*,Used when there are trailing blank lines in a file. This message belongs to the format checker.
F0001,:fatal (F0001):,Used when an error occurred preventing the analysis of a module (unable to find it for instance). This message belongs to the master checker.
I0001,:raw-checker-failed (I0001): *Unable to run raw checkers on built-in module %s*,Used to inform that a built-in module has not been checked using the raw checkers. This message belongs to the master checker.
W0106,":expression-not-assigned (W0106): *Expression ""%s"" is assigned to nothing*",Used when an expression that is not a function call is assigned to nothing. Probably something else was intended. This message belongs to the basic checker.
W0301,:unnecessary-semicolon (W0301): *Unnecessary semicolon*,"Used when a statement is ended by a semi-colon ("";""), which isn't necessary (that's python, not C ;). This message belongs to the format checker."
